ObjID,ra,dec,g,r
1237671125370405052,132.88216601702,11.9158044737219,18.01094,16.80711
1237671262272290977,132.912691170938,11.7987047028779,14.74759,15.43435
1237671262272290959,132.926870444144,11.8310683318872,14.93485,14.88015
1237671262272291327,132.923245622016,11.8192484916695,23.20629,24.82658
1237671262272291324,132.92006522243,11.8181957920964,15.09347,13.70761
1237671125370339690,132.803827055135,11.897825994088,15.92099,15.28404
1237671125370339725,132.815126072264,11.903931398796,25.77172,24.66921
1237671125370339688,132.815994410259,11.9010017984895,15.81651,15.16799
1237671125370339639,132.819030390721,11.9041798711428,13.77371,13.39419
1237671125370339656,132.801189883175,11.9063705248886,14.42115,14.00601
1237671125370339684,132.800515438073,11.9112124279814,15.61741,15.04129
1237671125370340002,132.799007843787,11.8491911067916,20.20883,19.85702
1237671125370339643,132.785665154472,11.8480515418924,14.00402,13.63936
1237671125370339677,132.781471927199,11.8656873427895,15.20821,14.69873
1237671125370339652,132.774777243756,11.8527257660237,14.35723,14.06938
1237671125370339682,132.774216336787,11.8862977127254,15.3772,14.83242
1237671125370340371,132.776202977044,11.8727309224477,23.43588,21.65285
1237671125370339706,132.764689612051,11.8612182039101,17.84638,16.67209
1237671125370339724,132.765947721655,11.8609284050819,27.56703,26.3374
1237671125370339653,132.768667655314,11.8627590138328,14.30978,13.8554
1237671125370339899,132.824881091416,11.8737773698674,18.7373,18.06507
1237671125370339665,132.81512771405,11.8489252311954,14.45974,14.32815
1237671125370339659,132.833469168764,11.8504418954576,14.57278,14.1412
1237671125370339666,132.828190417454,11.855185411587,14.88735,14.33646
1237671125370339711,132.821242085484,11.868031718463,25.11416,17.04413
1237671125370340025,132.829592976923,11.860508103218,19.57418,19.07511
1237671125370339717,132.808214884273,11.8580116944149,19.10036,24.80139
1237671125370339640,132.806706242014,11.8550684174662,13.80057,13.46558
1237671125370339680,132.814300019143,11.8660873744474,15.333,14.80576
1237671125370339644,132.805614888542,11.8611379302123,14.12547,13.77328
1237671125370339900,132.823942189824,11.8959085650511,21.01327,19.54721
1237671125370339655,132.780078853849,11.8838507401671,14.55487,14.2978
1237671125370339646,132.781296094489,11.8822378981502,14.10133,13.71742
1237671125370339713,132.788368814167,11.8872776466338,18.59371,17.22585
1237671125370339697,132.801366101142,11.8820672523957,17.15792,16.00552
1237671262272291037,132.84223040188,11.8077516681213,16.118,15.45135
1237671262272290985,132.846969683987,11.8073640383062,14.95552,16.21834
1237671262272290962,132.844992324663,11.8004776442609,13.71137,13.51203
1237671262272290976,132.869549649744,11.8005934453878,14.57298,15.87149
1237671262272290999,132.853500445847,11.8011105675358,14.95983,16.47331
1237671262272290979,132.855273728041,11.8037623773342,14.94594,16.07066
1237671262272290980,132.850342338334,11.8060735035559,14.70607,15.63215
1237671262272290964,132.888418229806,11.8142466090172,14.35502,15.03391
1237671262272290988,132.88570795003,11.8066852685136,14.78259,15.53203
1237671262272291031,132.876886566226,11.8161943065538,14.59027,14.34682
1237671262272290981,132.824952362924,11.7650474667423,15.18838,14.84375
