|name|alt_name_1|alt_name_2|ra|dec|vmag|spect_type|alt_name_3|alt_name_4|alt_name_5|lii|bii|ref_coords|ref_chart|open_cluster|ob_association|ref_oc_ob|other_correlations|ref_other|ref_spect_type|vmag_flag|bv_color|bv_color_flag|ref_mag|v_inf|ref_v_inf|period|binary_status|ref_binary_status|bv_color_0|e_bv|reddening|vmag_0|abs_vmag_wr|delta_m|abs_vmag_sys|true_dm|distance|z_distance|gc_distance|note_flag|class|
|WR 101g |KGE 6         |          |17 45 39.91|-29 00 26.4|42.10|WC9             |GC IRS 29N     |           |              |359.94441| -0.04551|Kr98      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |KG95          |         | 7.40   |             |       |      |         |                                      |                   |                                                   |-0.45     | 7.85|32.20    | 9.90 |-4.62      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WC9-11|
|WR 101h |KGE 7         |          |17 45 39.97|-29 00 25.8|42.10|WC9             |MPE -1.0,-3.5  |           |              |359.94466| -0.04561|Kr98      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |KG95          |         | 7.40   |             |       |      |         |                                      |                   |                                                   |-0.45     | 7.85|32.20    | 9.90 |-4.62      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WC9-11|
|WR 101i |KGE 8         |          |17 45 40.02|-29 00 16.7|40.60|WN9-11          |GC IRS 15SW    |           |              |359.94692| -0.04445|BS96      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |Cr99          |         | 7.51   |             |       |      |         |                                      |                   |                                                   |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|        -6| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 101j |KGE 9         |          |17 45 40.05|-29 00 27.4|40.60|WN9-11          |GC IRS 16NW    |           |              |359.94444| -0.04609|BS96      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |Cr99,GP00     |         | 7.51   |             |       |      |         |                                      |                   |                                                   |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 101k |KGE 10        |          |17 45 40.09|-29 00 29.8|40.60|WN9-11+?        |GC IRS 16S     |           |              |359.94394| -0.04657|BS96      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |Cr99,OE99     |         | 7.51   |             |       |      |         |9.72                                  |eclipse            |TW96,OE99                                          |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 101l |KGE 11        |          |17 45 40.12|-29 00 28.3|40.60|WN9-11          |GC IRS 16C     |           |              |359.94436| -0.04644|BS96      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |Cr99,GP00     |         | 7.51   |             |       |      |         |                                      |                   |                                                   |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 101m |KGE 12        |          |17 45 40.13|-29 00 17.1|40.60|WN9-11          |GC IRS 15N     |           |              |359.94704| -0.04484|BS96      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |Cr99          |         | 7.51   |             |       |      |         |                                      |                   |                                                   |-0.34     | 7.85|32.20    | 8.35 |-6.71      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WN9-11|
|WR 101n |KGE 13        |          |17 45 40.17|-29 00 28.9|42.10|WC9             |MPE +1.6,-6.8  |           |              |359.94431| -0.04668|Kr98      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |KG95          |         | 7.40   |             |       |      |         |                                      |                   |                                                   |-0.45     | 7.85|32.20    | 9.90 |-4.62      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WC9-11|
|WR 101o |KGE 14        |          |17 45 40.21|-29 00 29.2|42.10|WC9             |MPE +2.7,-6.9  |           |              |359.94431| -0.04685|Kr98      |KG95     |Galactic Center |              |KG95                  |                                                           |                                                               |KG95          |         | 7.40   |             |       |      |         |                                      |                   |                                                   |-0.45     | 7.85|32.20    | 9.90 |-4.62      |       |            |  14.52|       8|        -7| 0.0       |         |WOLF RAYET STAR WC9-11|
|WR 102  |Sand 4        |V3899 Sgr |17 45 47.00|-26 10 29.0|15.10|WO2             |               |LSS 4368   |              |  2.37658|  1.40710|VIp       |VI       |                |              |                      |G 2.4+1.4 (2r), IRAS shell                                 |VI,CT83,CH87,DL90,DM90,GK91,Lo91,EVS92,MC93,MY94,Sm95,Ma97,GC00|CDB98         |         | 0.77   |             |SS90   |4700  |TC86o    |                                      |                   |                                                   |-0.25     | 1.02| 4.18    |10.92 |-2.80      |       |            |  13.72|    5.56|       137| 2.5       |         |   WOLF RAYET STAR WO2|
