objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,class
1237651298186428556,21.50054,19.38002,18.93323,18.90682,18.35977,STAR
1237651311071395961,19.07572,17.92317,17.92476,17.96366,18.0657,STAR
1237651311071265849,24.10442,25.59867,24.74122,20.96856,19.44756,STAR
1237651298186428461,20.08002,18.37997,17.68923,17.41454,17.35963,STAR
1237651213361872999,17.75513,16.71405,16.3758,16.24841,16.21465,STAR
1237651226783645827,18.92153,19.01589,19.40014,19.70375,19.81981,STAR
1237651213361873269,19.3757,18.57278,18.23919,19.0111,18.02397,STAR
1237651213361938811,25.74825,21.88509,21.78186,19.57673,17.9554,STAR
1237651226783646868,23.17689,24.21728,24.07,21.70055,24.05621,STAR
1237656528920052145,19.64859,19.31296,19.56063,19.79323,20.15188,STAR
1237659895636951369,20.69367,19.52384,19.19984,19.06814,19.01628,STAR
1237656528920117566,19.01498,17.81267,17.65866,17.60987,17.59728,STAR
1237659895637148298,20.78778,20.42628,20.56003,20.78051,21.57564,STAR
1237656529456595304,21.28282,18.37991,16.98176,16.22947,15.77531,STAR
1237659896173823234,24.37794,25.23315,23.1362,20.89009,19.32277,STAR
1237656528920182843,24.71399,21.44748,19.19758,18.32938,18.25885,STAR
1237656528920248359,24.63468,24.91425,19.9156,19.13127,22.13837,STAR
1237656529993531679,19.47394,18.35485,17.96708,17.82686,17.74199,STAR
1237656529993662589,17.6559,17.57935,17.94649,18.19431,18.42832,STAR
1237659897247367194,18.35187,17.52375,16.79007,16.6256,16.5752,STAR
1237659896710692964,23.13187,20.05145,18.64233,17.81871,17.24383,STAR
1237656529993859109,20.41857,18.02666,16.96775,16.48574,16.29744,STAR
1237656529993793885,19.3957,19.08472,19.23823,19.48867,19.7382,STAR
1237656529457053856,20.40219,19.95947,20.18543,20.34101,20.76021,STAR
1237656529457053786,19.9363,18.70796,18.2171,18.06407,18.10019,STAR
1237656529457053791,21.63442,18.98274,17.46829,15.99841,15.22691,STAR
1237659896711676256,20.12533,19.6317,19.77755,20.03627,20.35348,STAR
1237656528921035009,18.9461,17.73641,17.93509,18.07726,18.17165,STAR
1237659897248285249,19.9787,18.66825,18.07522,17.83352,17.69673,STAR
1237659897248350339,24.63465,20.75565,19.34302,18.32829,17.91455,STAR
1237659897248284905,18.50321,18.37855,18.7273,19.00626,19.34183,STAR
1237659897248547171,19.95199,18.96563,18.71754,18.69288,18.73223,STAR
1237656529457905775,19.13981,17.99863,18.1059,18.24853,18.44536,STAR
1237659896174872015,25.72423,24.03148,22.48101,20.23464,18.88113,STAR
1237656529458102699,19.60805,17.69366,16.88888,16.56305,16.38109,STAR
1237659896175001861,19.20123,18.06418,17.55214,17.38984,17.41377,STAR
1237659896711676353,22.29657,19.81507,18.86997,18.61227,18.51451,STAR
1237659896711741563,19.18937,17.79083,17.31987,17.04801,16.99912,STAR
1237656529458168113,20.4932,18.66292,17.95353,17.67298,17.49781,STAR
1237659896711872590,18.69636,17.32383,16.70352,16.52301,16.40366,STAR
1237656530531516541,17.46898,16.27589,15.76904,15.56654,15.47107,STAR
1237656530531647533,17.71511,16.62803,16.4908,16.45839,16.47134,STAR
1237656530531516708,17.12047,15.80513,15.30683,15.12626,15.04605,STAR
1237659897248547105,20.15174,19.04838,19.0194,19.05626,19.29608,STAR
1237659897248350597,20.47513,18.15374,17.23309,16.83581,16.65568,STAR
1237659897248547002,18.08769,17.12721,16.88961,16.76125,16.78327,STAR
1237659897248678198,21.98929,19.15095,17.67927,17.06289,16.71135,STAR
1237659897248809581,20.41799,20.43769,20.72207,20.94329,21.58239,STAR
1237656530531909937,18.90986,17.34871,16.68393,16.40571,16.27327,STAR
1237659897248809051,18.85901,17.6428,17.20461,17.06122,16.98985,STAR
1237651212288262212,24.85349,23.52808,21.98262,19.27304,17.57261,STAR
1237651225710035090,17.77178,17.40759,17.60577,17.83155,18.12875,STAR
1237651225710035039,18.96049,17.87641,17.48657,17.34501,17.34042,STAR
1237651211751653395,16.84524,15.71362,15.3651,15.26429,15.23466,STAR
1237651212288327821,18.29802,16.62388,15.96422,15.73809,15.61168,STAR
1237651225173426255,18.89804,17.89162,17.50732,17.34866,17.33449,STAR
1237651211751653844,24.88214,22.69777,21.27509,18.39713,16.89972,STAR
1237651212288525522,24.57607,24.19692,23.2783,21.07292,19.40107,STAR
1237651212825133286,19.29358,18.23074,18.10271,18.0445,18.08263,STAR
1237651225709969823,20.02397,19.75093,20.00104,20.3626,20.3238,STAR
1237651212825198787,18.78482,17.5748,17.43759,17.41422,17.36547,STAR
1237651212825199861,24.21844,24.67504,23.13968,21.00455,19.45955,STAR
1237651212825264391,19.95204,20.10683,20.47877,20.72454,21.31765,STAR
1237651225710231576,17.89068,16.78747,16.69323,16.68013,16.75069,STAR
1237651225710232007,19.54852,18.66136,17.57207,16.6575,16.08058,STAR
1237651212825264754,23.40521,22.28457,20.84076,19.71327,19.03841,STAR
1237651225710231896,19.05647,17.92577,17.64568,17.51854,17.48208,STAR
1237651225710298484,24.63166,23.83333,23.75828,20.53649,18.84571,STAR
1237651225710428478,19.94223,19.7718,20.05198,20.36189,20.7763,STAR
1237651225710362647,16.40164,15.37063,15.14909,15.08851,15.12091,STAR
1237651225710362700,17.47577,16.37383,16.09763,16.01959,16.03882,STAR
1237651226247102722,20.78938,20.33216,20.3013,20.32379,20.96803,STAR
1237651226247233630,25.74765,26.82255,17.13748,25.92869,23.38821,STAR
1237651226247102692,19.64558,17.28469,16.30964,15.98453,15.7981,STAR
1237651226247168108,18.86184,16.82595,15.94612,15.6241,15.43424,STAR
1237651226247233553,20.82461,17.86095,15.07302,15.00978,28.01629,STAR
1237651226247299094,19.24582,18.91545,19.05848,19.25793,19.40589,STAR
1237651213362136186,24.0788,24.12719,22.6048,19.54253,17.99277,STAR
1237651226246906190,21.196,18.52532,17.15855,16.54348,16.19709,STAR
1237651226246906095,18.18893,16.73563,16.02965,15.66153,15.43125,STAR
1237651212824936806,20.3401,19.93754,19.27457,18.23359,17.55883,STAR
1237651226246905880,20.70483,18.07507,24.80203,17.85507,19.42622,STAR
1237651212825133194,18.09679,16.93786,16.50831,16.34605,16.29158,STAR
1237651226247037056,24.63467,19.45329,24.80203,18.86749,18.77531,STAR
1237651213362266208,20.15325,18.20783,17.52773,17.23071,17.17895,STAR
1237651213362200595,18.02055,16.96758,16.49297,16.27801,16.18546,STAR
1237651226784039251,19.53498,19.22894,18.88907,18.15361,17.65888,STAR
1237651213362331695,19.01623,17.83426,17.77913,17.8292,17.90593,STAR
1237651213362266383,19.57222,18.49788,18.5207,18.54478,18.60561,STAR
1237651226247364811,21.81128,19.1723,17.84189,17.29227,17.00049,STAR
1237663479795745105,20.65434,19.49948,18.94307,18.72049,18.64426,STAR
1237663543147430409,24.03155,21.71134,20.4669,19.44652,18.44763,STAR
1237663480332681567,24.43646,20.72554,19.08369,17.97354,17.34405,STAR
1237663543684432105,19.6242,19.20431,19.44843,19.63371,19.98426,STAR
1237663479258939967,24.26679,22.64382,21.06138,19.01729,17.81348,STAR
1237663543684366721,22.73196,20.16482,18.91866,18.37647,18.11294,STAR
1237678595931701553,20.69458,18.18742,17.12154,16.73506,16.52837,STAR
1237678617406538176,25.12256,22.08443,20.53441,18.92383,18.05908,STAR
1237663544221565208,20.40756,17.88844,16.65651,16.17862,15.89873,STAR
1237663480332943535,20.25878,19.68476,19.52921,19.4353,19.40887,STAR
1237663480335958239,22.8592,20.97957,19.56201,18.39557,17.77164,STAR
1237663543687643416,19.69627,18.63473,18.22487,18.05145,18.00214,STAR
1237663543687643226,22.87743,20.86806,22.30899,18.9433,20.21136,STAR
1237663543687708702,17.71354,16.64526,16.23081,16.08458,16.01851,STAR
1237663480336089254,23.45124,21.90437,20.29413,18.95208,18.18645,STAR
1237663480336220395,20.85527,19.47117,19.15902,19.00203,18.91229,STAR
1237648705142129021,24.62898,22.63665,20.80183,19.13039,18.24401,STAR
1237655551280743022,19.49433,18.465,18.32641,18.2916,18.36877,STAR
1237655551817875944,19.29259,18.04474,17.53789,17.30112,17.1083,STAR
